,date,pm2_5
0,2023-01-01 00:00:00+00:00,4.4
1,2023-01-01 01:00:00+00:00,4.4
2,2023-01-01 02:00:00+00:00,4.3
3,2023-01-01 03:00:00+00:00,4.1
4,2023-01-01 04:00:00+00:00,4.1
5,2023-01-01 05:00:00+00:00,4.4
6,2023-01-01 06:00:00+00:00,4.9
7,2023-01-01 07:00:00+00:00,5.6
8,2023-01-01 08:00:00+00:00,6.5
9,2023-01-01 09:00:00+00:00,7.5
10,2023-01-01 10:00:00+00:00,8.7
11,2023-01-01 11:00:00+00:00,10.0
12,2023-01-01 12:00:00+00:00,9.7
13,2023-01-01 13:00:00+00:00,9.5
14,2023-01-01 14:00:00+00:00,9.3
15,2023-01-01 15:00:00+00:00,9.0
16,2023-01-01 16:00:00+00:00,8.8
17,2023-01-01 17:00:00+00:00,8.6
18,2023-01-01 18:00:00+00:00,8.6
19,2023-01-01 19:00:00+00:00,8.9
20,2023-01-01 20:00:00+00:00,9.4
21,2023-01-01 21:00:00+00:00,10.0
22,2023-01-01 22:00:00+00:00,10.6
23,2023-01-01 23:00:00+00:00,11.2
24,2023-01-02 00:00:00+00:00,11.3
25,2023-01-02 01:00:00+00:00,12.0
26,2023-01-02 02:00:00+00:00,12.6
27,2023-01-02 03:00:00+00:00,12.8
28,2023-01-02 04:00:00+00:00,13.0
29,2023-01-02 05:00:00+00:00,13.4
30,2023-01-02 06:00:00+00:00,13.0
31,2023-01-02 07:00:00+00:00,12.6
32,2023-01-02 08:00:00+00:00,12.4
33,2023-01-02 09:00:00+00:00,11.5
34,2023-01-02 10:00:00+00:00,12.5
35,2023-01-02 11:00:00+00:00,13.2
36,2023-01-02 12:00:00+00:00,12.5
37,2023-01-02 13:00:00+00:00,11.7
38,2023-01-02 14:00:00+00:00,11.1
39,2023-01-02 15:00:00+00:00,11.2
40,2023-01-02 16:00:00+00:00,11.3
41,2023-01-02 17:00:00+00:00,11.5
42,2023-01-02 18:00:00+00:00,11.5
43,2023-01-02 19:00:00+00:00,10.7
44,2023-01-02 20:00:00+00:00,10.0
45,2023-01-02 21:00:00+00:00,9.5
46,2023-01-02 22:00:00+00:00,9.3
47,2023-01-02 23:00:00+00:00,9.3
48,2023-01-03 00:00:00+00:00,9.0
49,2023-01-03 01:00:00+00:00,9.3
50,2023-01-03 02:00:00+00:00,9.4
51,2023-01-03 03:00:00+00:00,7.9
52,2023-01-03 04:00:00+00:00,5.8
53,2023-01-03 05:00:00+00:00,4.2
54,2023-01-03 06:00:00+00:00,3.9
55,2023-01-03 07:00:00+00:00,4.5
56,2023-01-03 08:00:00+00:00,5.3
57,2023-01-03 09:00:00+00:00,5.6
58,2023-01-03 10:00:00+00:00,6.5
59,2023-01-03 11:00:00+00:00,6.0
60,2023-01-03 12:00:00+00:00,5.3
61,2023-01-03 13:00:00+00:00,4.8
62,2023-01-03 14:00:00+00:00,5.3
63,2023-01-03 15:00:00+00:00,5.2
64,2023-01-03 16:00:00+00:00,5.0
65,2023-01-03 17:00:00+00:00,4.7
66,2023-01-03 18:00:00+00:00,4.6
67,2023-01-03 19:00:00+00:00,4.7
68,2023-01-03 20:00:00+00:00,5.2
69,2023-01-03 21:00:00+00:00,5.5
70,2023-01-03 22:00:00+00:00,5.7
71,2023-01-03 23:00:00+00:00,5.9
72,2023-01-04 00:00:00+00:00,5.6
73,2023-01-04 01:00:00+00:00,6.0
74,2023-01-04 02:00:00+00:00,6.6
75,2023-01-04 03:00:00+00:00,7.5
76,2023-01-04 04:00:00+00:00,8.3
77,2023-01-04 05:00:00+00:00,9.7
78,2023-01-04 06:00:00+00:00,11.7
79,2023-01-04 07:00:00+00:00,14.3
80,2023-01-04 08:00:00+00:00,16.6
81,2023-01-04 09:00:00+00:00,21.3
82,2023-01-04 10:00:00+00:00,22.7
83,2023-01-04 11:00:00+00:00,23.0
84,2023-01-04 12:00:00+00:00,28.1
85,2023-01-04 13:00:00+00:00,24.6
86,2023-01-04 14:00:00+00:00,15.3
87,2023-01-04 15:00:00+00:00,10.9
88,2023-01-04 16:00:00+00:00,7.7
89,2023-01-04 17:00:00+00:00,5.9
90,2023-01-04 18:00:00+00:00,5.0
91,2023-01-04 19:00:00+00:00,4.6
92,2023-01-04 20:00:00+00:00,4.4
93,2023-01-04 21:00:00+00:00,4.1
94,2023-01-04 22:00:00+00:00,3.6
95,2023-01-04 23:00:00+00:00,3.0
96,2023-01-05 00:00:00+00:00,2.8
97,2023-01-05 01:00:00+00:00,2.5
98,2023-01-05 02:00:00+00:00,2.0
99,2023-01-05 03:00:00+00:00,1.7
100,2023-01-05 04:00:00+00:00,1.7
101,2023-01-05 05:00:00+00:00,2.1
102,2023-01-05 06:00:00+00:00,2.6
103,2023-01-05 07:00:00+00:00,2.8
104,2023-01-05 08:00:00+00:00,3.0
105,2023-01-05 09:00:00+00:00,3.5
106,2023-01-05 10:00:00+00:00,4.2
107,2023-01-05 11:00:00+00:00,4.7
108,2023-01-05 12:00:00+00:00,4.4
109,2023-01-05 13:00:00+00:00,3.6
110,2023-01-05 14:00:00+00:00,2.6
111,2023-01-05 15:00:00+00:00,1.9
112,2023-01-05 16:00:00+00:00,1.7
113,2023-01-05 17:00:00+00:00,1.9
114,2023-01-05 18:00:00+00:00,2.2
115,2023-01-05 19:00:00+00:00,2.3
116,2023-01-05 20:00:00+00:00,2.4
117,2023-01-05 21:00:00+00:00,2.6
118,2023-01-05 22:00:00+00:00,3.2
119,2023-01-05 23:00:00+00:00,3.7
120,2023-01-06 00:00:00+00:00,3.9
121,2023-01-06 01:00:00+00:00,4.1
122,2023-01-06 02:00:00+00:00,4.3
123,2023-01-06 03:00:00+00:00,4.5
124,2023-01-06 04:00:00+00:00,5.0
125,2023-01-06 05:00:00+00:00,5.3
126,2023-01-06 06:00:00+00:00,5.5
127,2023-01-06 07:00:00+00:00,7.4
128,2023-01-06 08:00:00+00:00,6.6
129,2023-01-06 09:00:00+00:00,7.0
130,2023-01-06 10:00:00+00:00,7.3
131,2023-01-06 11:00:00+00:00,7.8
132,2023-01-06 12:00:00+00:00,6.1
133,2023-01-06 13:00:00+00:00,5.9
134,2023-01-06 14:00:00+00:00,5.8
135,2023-01-06 15:00:00+00:00,7.7
136,2023-01-06 16:00:00+00:00,9.0
137,2023-01-06 17:00:00+00:00,9.1
138,2023-01-06 18:00:00+00:00,8.4
139,2023-01-06 19:00:00+00:00,7.4
140,2023-01-06 20:00:00+00:00,6.9
141,2023-01-06 21:00:00+00:00,6.9
142,2023-01-06 22:00:00+00:00,7.6
143,2023-01-06 23:00:00+00:00,9.0
144,2023-01-07 00:00:00+00:00,10.2
145,2023-01-07 01:00:00+00:00,10.9
146,2023-01-07 02:00:00+00:00,10.8
147,2023-01-07 03:00:00+00:00,10.5
148,2023-01-07 04:00:00+00:00,10.5
149,2023-01-07 05:00:00+00:00,11.2
150,2023-01-07 06:00:00+00:00,12.7
151,2023-01-07 07:00:00+00:00,14.3
152,2023-01-07 08:00:00+00:00,16.9
153,2023-01-07 09:00:00+00:00,17.6
154,2023-01-07 10:00:00+00:00,19.8
155,2023-01-07 11:00:00+00:00,21.1
156,2023-01-07 12:00:00+00:00,16.5
157,2023-01-07 13:00:00+00:00,18.4
158,2023-01-07 14:00:00+00:00,22.8
159,2023-01-07 15:00:00+00:00,24.7
