,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide
0,2023-01-01 00:00:00+00:00,9.3,6.5,161.0,30.8,4.35
1,2023-01-01 01:00:00+00:00,9.1,6.3,169.0,34.4,4.0
2,2023-01-01 02:00:00+00:00,7.9,5.5,179.0,39.4,3.5
3,2023-01-01 03:00:00+00:00,5.8,4.1,189.0,42.5,2.85
4,2023-01-01 04:00:00+00:00,5.0,3.5,190.0,39.3,2.5
5,2023-01-01 05:00:00+00:00,4.7,3.2,188.0,33.15,2.25
6,2023-01-01 06:00:00+00:00,5.4,3.7,178.0,24.55,1.9
7,2023-01-01 07:00:00+00:00,5.1,3.4,160.0,18.7,1.6
8,2023-01-01 08:00:00+00:00,4.7,3.0,135.0,12.7,1.3
9,2023-01-01 09:00:00+00:00,5.6,3.5,112.0,6.65,1.1
10,2023-01-01 10:00:00+00:00,6.2,3.8,109.0,4.1,1.2
11,2023-01-01 11:00:00+00:00,5.7,3.5,114.0,2.85,1.4
12,2023-01-01 12:00:00+00:00,10.7,7.1,157.0,12.25,2.3
13,2023-01-01 13:00:00+00:00,11.7,7.8,168.0,17.3,2.3
14,2023-01-01 14:00:00+00:00,10.6,7.1,183.0,24.4,2.35
15,2023-01-01 15:00:00+00:00,8.5,5.7,195.0,30.15,2.45
16,2023-01-01 16:00:00+00:00,8.8,5.9,191.0,28.2,2.6
17,2023-01-01 17:00:00+00:00,8.9,5.9,180.0,23.05,2.8
18,2023-01-01 18:00:00+00:00,8.4,5.6,165.0,16.55,2.95
19,2023-01-01 19:00:00+00:00,9.1,6.1,156.0,13.4,2.8
20,2023-01-01 20:00:00+00:00,9.5,6.4,148.0,10.7,2.55
21,2023-01-01 21:00:00+00:00,9.2,6.1,141.0,9.4,2.25
22,2023-01-01 22:00:00+00:00,8.4,5.6,137.0,10.35,2.15
23,2023-01-01 23:00:00+00:00,7.3,4.8,135.0,12.7,2.1
24,2023-01-02 00:00:00+00:00,9.0,6.0,159.0,22.7,2.75
25,2023-01-02 01:00:00+00:00,10.0,6.8,185.0,31.45,2.7
26,2023-01-02 02:00:00+00:00,11.0,7.5,222.0,43.9,2.65
27,2023-01-02 03:00:00+00:00,11.8,8.1,283.0,57.8,2.8
28,2023-01-02 04:00:00+00:00,13.6,9.3,344.0,63.15,3.2
29,2023-01-02 05:00:00+00:00,16.7,11.4,414.0,66.1,3.8
30,2023-01-02 06:00:00+00:00,18.8,12.9,482.0,67.7,4.5
31,2023-01-02 07:00:00+00:00,19.6,13.5,489.0,67.1,4.8
32,2023-01-02 08:00:00+00:00,20.0,13.7,474.0,65.0,5.0
33,2023-01-02 09:00:00+00:00,21.4,14.7,470.0,61.55,5.65
34,2023-01-02 10:00:00+00:00,24.2,16.6,499.0,58.7,6.75
35,2023-01-02 11:00:00+00:00,29.4,20.4,543.0,55.5,8.15
36,2023-01-02 12:00:00+00:00,50.4,35.2,907.0,51.05,13.45
37,2023-01-02 13:00:00+00:00,52.4,36.6,973.0,50.6,13.6
38,2023-01-02 14:00:00+00:00,53.0,37.0,1064.0,50.15,13.85
39,2023-01-02 15:00:00+00:00,56.3,39.3,1101.0,54.5,13.55
40,2023-01-02 16:00:00+00:00,58.0,40.4,993.0,67.2,12.15
41,2023-01-02 17:00:00+00:00,54.9,38.2,815.0,84.55,10.2
42,2023-01-02 18:00:00+00:00,42.1,29.0,596.0,97.05,9.15
43,2023-01-02 19:00:00+00:00,36.1,24.5,489.0,88.0,10.95
44,2023-01-02 20:00:00+00:00,34.6,23.2,404.0,69.65,14.05
