,datetime,temperature_2m_previous_day0,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,temperature_2m_previous_day6,temperature_2m_previous_day7,precipitation_previous_day0,precipitation_previous_day1,precipitation_previous_day2,precipitation_previous_day3,precipitation_previous_day4,precipitation_previous_day5,precipitation_previous_day6,precipitation_previous_day7,cloud_cover_previous_day0,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,cloud_cover_previous_day6,cloud_cover_previous_day7,wind_speed_10m_previous_day0,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_10m_previous_day3,wind_speed_10m_previous_day4,wind_speed_10m_previous_day5,wind_speed_10m_previous_day6,wind_speed_10m_previous_day7,wind_direction_10m_previous_day0,wind_direction_10m_previous_day1,wind_direction_10m_previous_day2,wind_direction_10m_previous_day3,wind_direction_10m_previous_day4,wind_direction_10m_previous_day5,wind_direction_10m_previous_day6,wind_direction_10m_previous_day7
0,2024-04-01 00:00:00+00:00,13.05,13.25,13.8,14.1,12.55,13.7,16.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,61.0,100.0,7.4128532,5.315336,7.6367526,7.69592,6.8399997,5.5887027,10.495713,7.386582,330.9455,298.30066,261.87,259.21576,270.0,284.93146,337.8336,316.9749
1,2024-04-01 01:00:00+00:00,12.85,12.95,13.4,13.65,12.55,13.6,15.85,16.75,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,100.0,6.9247384,5.3999996,6.924738,7.342588,7.342588,6.162207,13.217443,9.726664,332.1028,306.86996,261.02747,258.6901,258.6901,276.70975,330.64233,321.009
2,2024-04-01 02:00:00+00:00,12.85,12.85,13.05,13.15,12.95,13.75,15.8,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,48.0,100.0,6.439876,5.8603754,6.489992,7.342588,7.289444,7.2359104,11.304229,8.78872,333.43503,312.5104,266.82022,258.6901,249.77505,264.2895,322.76508,325.0079
3,2024-04-01 03:00:00+00:00,12.95,13.0,13.0,12.95,13.45,14.0,15.85,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,100.0,6.439876,6.3690495,6.162207,6.87779,7.24486,7.69592,9.957108,7.9036193,333.43503,312.70938,276.70975,263.9911,243.43501,259.21576,310.60123,329.9315
4,2024-04-01 04:00:00+00:00,13.1,13.35,13.35,13.2,13.85,14.15,15.9,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,3.0,0.0,0.0,0.0,11.0,27.0,99.0,6.6185193,7.2,6.638072,6.519877,7.729527,6.489992,10.315115,7.729527,337.6198,306.86996,282.5288,276.3401,242.24155,266.82022,299.24872,332.24155
5,2024-04-01 05:00:00+00:00,13.4,13.95,13.95,13.8,14.3,14.35,16.0,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,11.0,6.0,0.0,0.0,0.0,4.0,17.0,96.0,6.830519,8.707237,7.172949,6.489992,8.049845,5.1544156,11.043261,7.42159,341.56494,299.74478,287.52567,289.44012,243.43501,282.09473,289.0257,337.1663
6,2024-04-01 06:00:00+00:00,14.0,14.75,14.75,14.65,15.0,14.9,16.25,16.85,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,15.0,9.0,0.0,0.0,2.0,0.0,9.0,90.0,7.42159,9.83268,8.654986,7.289444,9.178235,5.0142193,12.144331,7.42159,337.1663,293.7495,286.92758,290.22495,244.44008,291.03757,281.9761,337.1663
7,2024-04-01 07:00:00+00:00,15.25,15.95,15.9,15.95,16.2,16.1,16.7,17.35,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,15.0,10.0,4.0,6.0,6.0,1.0,4.0,77.0,8.435069,10.829959,11.367109,9.36,11.440979,6.489992,14.84318,8.534353,320.1945,285.4222,280.954,270.0,245.85446,266.82022,284.03625,332.3541
8,2024-04-01 08:00:00+00:00,16.85,17.35,17.3,17.55,17.55,17.65,17.25,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,12.0,11.0,10.0,15.0,13.0,5.0,2.0,60.0,10.383987,11.659777,15.226764,13.661038,14.372974,10.028439,17.533146,10.383987,303.6901,278.88058,276.78888,251.56496,247.93205,248.96242,289.1791,326.3099
9,2024-04-01 09:00:00+00:00,17.95,18.35,18.25,18.6,18.5,18.8,18.0,19.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,11.0,14.0,24.0,21.0,7.0,0.0,43.0,12.397806,12.979984,17.673029,16.78156,16.311613,12.181625,16.418526,8.209263,295.82092,273.17978,273.50345,247.28555,247.96371,251.0295,285.25516,322.12494
10,2024-04-01 10:00:00+00:00,18.1,18.75,18.55,18.75,18.55,19.15,19.15,21.25,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,8.0,11.0,15.0,32.0,34.0,5.0,0.0,26.0,12.72283,14.417988,18.36353,17.208603,17.072504,11.928989,9.904906,1.4399999,295.1148,272.86234,271.1233,254.21918,245.05612,275.19434,250.9064,180.0
