,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide
0,2023-01-01 00:00:00+00:00,1.8,1.3,74.0,2.9,0.0
1,2023-01-01 01:00:00+00:00,2.1,1.5,75.0,2.55,0.0
2,2023-01-01 02:00:00+00:00,2.4,1.7,75.0,2.0,0.0
3,2023-01-01 03:00:00+00:00,2.6,1.8,76.0,1.4,0.0
4,2023-01-01 04:00:00+00:00,3.1,2.2,75.0,1.1,0.0
5,2023-01-01 05:00:00+00:00,3.0,2.1,74.0,0.85,0.05
6,2023-01-01 06:00:00+00:00,2.7,1.9,73.0,0.65,0.05
7,2023-01-01 07:00:00+00:00,2.9,2.0,73.0,0.6,0.05
8,2023-01-01 08:00:00+00:00,3.2,2.3,73.0,0.7,0.05
9,2023-01-01 09:00:00+00:00,3.6,2.5,75.0,1.1,0.05
10,2023-01-01 10:00:00+00:00,4.1,2.9,77.0,1.85,0.05
11,2023-01-01 11:00:00+00:00,4.3,3.0,80.0,2.8,0.05
12,2023-01-01 12:00:00+00:00,3.1,2.2,87.0,2.2,0.05
13,2023-01-01 13:00:00+00:00,3.2,2.3,89.0,2.25,0.05
14,2023-01-01 14:00:00+00:00,2.8,1.9,91.0,2.35,0.0
15,2023-01-01 15:00:00+00:00,2.4,1.6,93.0,2.35,0.0
16,2023-01-01 16:00:00+00:00,2.0,1.4,92.0,2.15,0.0
17,2023-01-01 17:00:00+00:00,1.8,1.3,90.0,1.8,0.0
18,2023-01-01 18:00:00+00:00,1.2,0.8,88.0,1.4,0.0
19,2023-01-01 19:00:00+00:00,0.9,0.6,88.0,1.15,0.0
20,2023-01-01 20:00:00+00:00,0.8,0.6,88.0,0.95,0.0
21,2023-01-01 21:00:00+00:00,0.8,0.6,89.0,0.75,0.0
22,2023-01-01 22:00:00+00:00,1.1,0.8,90.0,0.8,0.0
23,2023-01-01 23:00:00+00:00,1.0,0.7,90.0,0.9,0.05
24,2023-01-02 00:00:00+00:00,0.9,0.6,91.0,0.8,0.0
25,2023-01-02 01:00:00+00:00,1.3,0.9,93.0,0.9,0.0
26,2023-01-02 02:00:00+00:00,1.3,0.9,95.0,1.0,0.05
27,2023-01-02 03:00:00+00:00,1.8,1.3,97.0,1.05,0.05
28,2023-01-02 04:00:00+00:00,2.6,1.9,97.0,0.9,0.05
29,2023-01-02 05:00:00+00:00,2.2,1.6,97.0,0.6,0.05
30,2023-01-02 06:00:00+00:00,2.0,1.4,96.0,0.3,0.05
31,2023-01-02 07:00:00+00:00,1.9,1.4,96.0,0.15,0.05
32,2023-01-02 08:00:00+00:00,1.9,1.3,97.0,0.05,0.1
33,2023-01-02 09:00:00+00:00,1.9,1.3,98.0,0.2,0.1
34,2023-01-02 10:00:00+00:00,2.3,1.6,100.0,0.7,0.1
35,2023-01-02 11:00:00+00:00,2.4,1.7,103.0,1.45,0.1
36,2023-01-02 12:00:00+00:00,5.0,3.5,90.0,3.55,0.25
37,2023-01-02 13:00:00+00:00,3.8,2.7,92.0,3.15,0.2
