,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide
0,2023-01-01 00:00:00+00:00,2.4,1.6,133.0,2.9,0.95
1,2023-01-01 01:00:00+00:00,2.4,1.7,134.0,3.95,0.95
2,2023-01-01 02:00:00+00:00,2.3,1.6,136.0,5.4,1.0
3,2023-01-01 03:00:00+00:00,2.5,1.7,138.0,6.65,1.05
4,2023-01-01 04:00:00+00:00,2.8,2.0,140.0,6.45,1.1
5,2023-01-01 05:00:00+00:00,3.4,2.3,142.0,5.7,1.15
6,2023-01-01 06:00:00+00:00,3.5,2.4,144.0,4.5,1.2
7,2023-01-01 07:00:00+00:00,3.7,2.6,145.0,3.4,1.15
8,2023-01-01 08:00:00+00:00,3.8,2.6,146.0,2.15,1.1
9,2023-01-01 09:00:00+00:00,3.6,2.5,147.0,1.55,1.0
10,2023-01-01 10:00:00+00:00,3.8,2.6,149.0,2.4,1.0
11,2023-01-01 11:00:00+00:00,4.2,2.9,150.0,4.05,1.0
12,2023-01-01 12:00:00+00:00,7.0,4.9,153.0,7.35,0.95
13,2023-01-01 13:00:00+00:00,7.2,5.0,155.0,10.25,0.9
14,2023-01-01 14:00:00+00:00,7.0,4.9,159.0,14.35,0.85
15,2023-01-01 15:00:00+00:00,7.4,5.1,162.0,18.3,0.8
16,2023-01-01 16:00:00+00:00,7.3,5.1,163.0,18.8,0.8
17,2023-01-01 17:00:00+00:00,7.0,4.9,162.0,18.05,0.8
18,2023-01-01 18:00:00+00:00,6.4,4.5,160.0,16.25,0.8
19,2023-01-01 19:00:00+00:00,5.5,3.8,156.0,14.4,0.8
20,2023-01-01 20:00:00+00:00,4.7,3.2,152.0,12.0,0.8
21,2023-01-01 21:00:00+00:00,4.4,3.0,146.0,9.2,0.8
22,2023-01-01 22:00:00+00:00,4.3,3.0,143.0,7.65,0.8
23,2023-01-01 23:00:00+00:00,4.3,3.0,141.0,6.4,0.8
24,2023-01-02 00:00:00+00:00,4.0,2.7,141.0,6.75,0.65
25,2023-01-02 01:00:00+00:00,4.1,2.9,143.0,8.25,0.65
26,2023-01-02 02:00:00+00:00,4.5,3.1,145.0,10.35,0.6
27,2023-01-02 03:00:00+00:00,5.2,3.6,146.0,11.8,0.6
