,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide
0,2023-01-01 00:00:00+00:00,80.8,56.2,726.0,39.3,28.15
1,2023-01-01 01:00:00+00:00,90.8,63.1,702.0,32.3,29.3
2,2023-01-01 02:00:00+00:00,110.8,77.3,669.0,22.4,31.0
3,2023-01-01 03:00:00+00:00,71.5,49.6,630.0,11.35,34.2
4,2023-01-01 04:00:00+00:00,60.5,41.7,613.0,7.3,37.95
5,2023-01-01 05:00:00+00:00,60.1,41.3,601.0,5.25,42.5
6,2023-01-01 06:00:00+00:00,61.0,41.8,595.0,3.95,46.8
7,2023-01-01 07:00:00+00:00,60.5,41.6,596.0,3.6,47.45
8,2023-01-01 08:00:00+00:00,60.3,41.4,602.0,4.15,46.75
9,2023-01-01 09:00:00+00:00,66.1,45.3,624.0,6.15,44.9
10,2023-01-01 10:00:00+00:00,84.3,58.1,660.0,8.95,43.0
11,2023-01-01 11:00:00+00:00,96.4,66.6,707.0,12.65,40.5
12,2023-01-01 12:00:00+00:00,89.2,61.5,738.0,17.7,35.65
13,2023-01-01 13:00:00+00:00,85.7,59.0,743.0,19.05,35.3
14,2023-01-01 14:00:00+00:00,82.9,56.9,751.0,21.0,34.85
15,2023-01-01 15:00:00+00:00,82.0,56.2,756.0,23.75,34.4
16,2023-01-01 16:00:00+00:00,80.8,55.3,754.0,26.0,34.25
17,2023-01-01 17:00:00+00:00,78.5,53.6,748.0,28.35,34.2
18,2023-01-01 18:00:00+00:00,75.7,51.6,736.0,30.55,34.5
19,2023-01-01 19:00:00+00:00,71.9,48.8,720.0,30.9,35.3
20,2023-01-01 20:00:00+00:00,68.2,46.1,700.0,30.55,36.4
21,2023-01-01 21:00:00+00:00,66.6,45.1,681.0,29.65,37.6
22,2023-01-01 22:00:00+00:00,66.1,44.5,683.0,29.4,37.45
23,2023-01-01 23:00:00+00:00,66.8,45.1,694.0,29.05,36.95
24,2023-01-02 00:00:00+00:00,73.8,49.8,707.0,24.15,37.55
25,2023-01-02 01:00:00+00:00,77.5,52.4,677.0,19.4,40.9
26,2023-01-02 02:00:00+00:00,65.4,44.0,633.0,12.65,45.65
27,2023-01-02 03:00:00+00:00,54.0,36.1,577.0,5.35,48.95
28,2023-01-02 04:00:00+00:00,48.3,32.2,544.0,3.05,46.5
29,2023-01-02 05:00:00+00:00,44.9,29.8,514.0,2.25,41.5
30,2023-01-02 06:00:00+00:00,47.6,31.5,479.0,1.95,35.25
31,2023-01-02 07:00:00+00:00,48.1,31.7,452.0,1.8,32.2
32,2023-01-02 08:00:00+00:00,47.4,31.1,427.0,2.05,29.65
33,2023-01-02 09:00:00+00:00,49.9,32.8,422.0,3.15,27.65
34,2023-01-02 10:00:00+00:00,63.1,42.0,457.0,4.9,27.65
35,2023-01-02 11:00:00+00:00,72.2,48.7,514.0,7.25,28.6
36,2023-01-02 12:00:00+00:00,133.6,88.5,639.0,9.25,32.4
37,2023-01-02 13:00:00+00:00,135.5,90.1,663.0,9.45,33.05
38,2023-01-02 14:00:00+00:00,137.4,91.3,696.0,9.75,33.9
39,2023-01-02 15:00:00+00:00,137.8,92.0,728.0,10.9,34.6
40,2023-01-02 16:00:00+00:00,135.5,90.6,730.0,12.85,34.2
41,2023-01-02 17:00:00+00:00,131.8,88.2,721.0,15.35,33.35
42,2023-01-02 18:00:00+00:00,124.8,83.8,704.0,18.1,32.65
43,2023-01-02 19:00:00+00:00,117.1,78.9,688.0,19.2,33.05
44,2023-01-02 20:00:00+00:00,108.3,73.1,668.0,19.85,33.8
45,2023-01-02 21:00:00+00:00,100.1,68.0,649.0,19.7,34.9
46,2023-01-02 22:00:00+00:00,93.6,63.8,648.0,18.85,35.5
47,2023-01-02 23:00:00+00:00,96.4,65.9,653.0,17.35,36.05
48,2023-01-03 00:00:00+00:00,83.1,56.7,585.0,14.25,29.0
49,2023-01-03 01:00:00+00:00,72.2,49.2,563.0,11.75,28.35
50,2023-01-03 02:00:00+00:00,64.5,43.9,531.0,8.15,27.45
51,2023-01-03 03:00:00+00:00,53.3,36.0,487.0,4.15,25.9
52,2023-01-03 04:00:00+00:00,45.6,30.4,454.0,2.55,24.35
53,2023-01-03 05:00:00+00:00,43.0,28.3,420.0,1.6,22.55
54,2023-01-03 06:00:00+00:00,43.7,28.6,390.0,1.05,20.5
55,2023-01-03 07:00:00+00:00,44.1,28.9,384.0,1.1,19.6
56,2023-01-03 08:00:00+00:00,43.8,28.9,389.0,1.55,19.0
57,2023-01-03 09:00:00+00:00,46.1,30.6,409.0,2.9,18.45
58,2023-01-03 10:00:00+00:00,53.7,36.2,440.0,4.75,18.25
59,2023-01-03 11:00:00+00:00,62.4,42.5,481.0,7.15,18.2
60,2023-01-03 12:00:00+00:00,64.3,44.1,517.0,10.15,16.3
61,2023-01-03 13:00:00+00:00,65.9,45.4,529.0,10.2,16.5
62,2023-01-03 14:00:00+00:00,65.9,45.5,546.0,10.3,16.85
63,2023-01-03 15:00:00+00:00,64.7,44.7,562.0,10.25,17.45
64,2023-01-03 16:00:00+00:00,62.9,43.5,563.0,9.95,18.1
65,2023-01-03 17:00:00+00:00,61.2,42.4,559.0,9.5,18.95
66,2023-01-03 18:00:00+00:00,59.8,41.6,554.0,9.05,20.0
67,2023-01-03 19:00:00+00:00,58.4,40.6,551.0,8.8,20.7
68,2023-01-03 20:00:00+00:00,56.6,39.3,548.0,8.65,21.4
69,2023-01-03 21:00:00+00:00,55.9,38.9,551.0,8.9,22.35
70,2023-01-03 22:00:00+00:00,56.7,39.5,565.0,10.1,23.2
71,2023-01-03 23:00:00+00:00,58.1,40.4,586.0,11.8,24.1
72,2023-01-04 00:00:00+00:00,68.5,47.7,554.0,11.35,18.7
73,2023-01-04 01:00:00+00:00,51.9,36.2,519.0,9.15,17.9
74,2023-01-04 02:00:00+00:00,58.6,40.7,469.0,6.1,16.8
75,2023-01-04 03:00:00+00:00,42.7,29.7,411.0,2.8,15.5
76,2023-01-04 04:00:00+00:00,37.0,25.7,384.0,1.7,14.9
77,2023-01-04 05:00:00+00:00,36.9,25.6,364.0,1.3,14.4
78,2023-01-04 06:00:00+00:00,37.6,26.1,354.0,1.95,14.2
79,2023-01-04 07:00:00+00:00,38.0,26.2,361.0,3.35,14.4
80,2023-01-04 08:00:00+00:00,39.2,27.1,378.0,5.45,14.9
81,2023-01-04 09:00:00+00:00,49.0,34.0,417.0,9.5,15.85
82,2023-01-04 10:00:00+00:00,62.6,43.4,464.0,14.15,16.9
83,2023-01-04 11:00:00+00:00,70.5,48.9,524.0,19.75,18.25
84,2023-01-04 12:00:00+00:00,83.8,58.3,582.0,24.35,19.65
85,2023-01-04 13:00:00+00:00,87.1,60.5,599.0,24.85,19.85
86,2023-01-04 14:00:00+00:00,92.2,64.0,624.0,25.6,20.2
87,2023-01-04 15:00:00+00:00,95.9,66.6,649.0,26.9,20.85
88,2023-01-04 16:00:00+00:00,96.9,67.3,652.0,28.4,21.45
89,2023-01-04 17:00:00+00:00,96.4,67.1,647.0,30.2,22.15
90,2023-01-04 18:00:00+00:00,95.5,66.4,644.0,31.85,23.6
91,2023-01-04 19:00:00+00:00,92.2,64.0,648.0,32.05,25.35
92,2023-01-04 20:00:00+00:00,88.2,61.2,655.0,31.65,27.5
93,2023-01-04 21:00:00+00:00,85.9,59.6,671.0,30.75,30.3
94,2023-01-04 22:00:00+00:00,85.0,59.0,694.0,30.45,32.0
95,2023-01-04 23:00:00+00:00,85.4,59.5,723.0,30.05,33.6
96,2023-01-05 00:00:00+00:00,87.8,61.0,714.0,37.0,29.5
97,2023-01-05 01:00:00+00:00,97.3,67.8,714.0,28.5,34.1
98,2023-01-05 02:00:00+00:00,104.5,72.9,714.0,16.45,40.6
99,2023-01-05 03:00:00+00:00,83.4,58.1,707.0,3.85,45.75
100,2023-01-05 04:00:00+00:00,79.6,55.6,689.0,0.8,43.7
101,2023-01-05 05:00:00+00:00,73.8,51.5,664.0,0.85,38.65
102,2023-01-05 06:00:00+00:00,65.7,45.9,643.0,1.8,32.35
103,2023-01-05 07:00:00+00:00,54.9,38.4,645.0,1.8,29.55
104,2023-01-05 08:00:00+00:00,51.2,35.7,656.0,2.1,27.35
105,2023-01-05 09:00:00+00:00,56.8,39.7,687.0,3.8,25.35
106,2023-01-05 10:00:00+00:00,68.2,47.7,731.0,6.65,24.85
107,2023-01-05 11:00:00+00:00,78.0,54.5,788.0,10.45,25.0
108,2023-01-05 12:00:00+00:00,84.3,58.9,832.0,13.3,27.8
109,2023-01-05 13:00:00+00:00,86.4,60.5,835.0,16.1,27.05
110,2023-01-05 14:00:00+00:00,82.2,57.4,839.0,20.05,26.0
111,2023-01-05 15:00:00+00:00,71.7,50.2,834.0,23.35,24.85
112,2023-01-05 16:00:00+00:00,62.6,43.7,813.0,22.6,24.1
113,2023-01-05 17:00:00+00:00,54.9,38.4,783.0,20.2,23.5
114,2023-01-05 18:00:00+00:00,50.2,35.0,759.0,16.45,24.3
115,2023-01-05 19:00:00+00:00,48.4,33.8,761.0,13.65,26.45
116,2023-01-05 20:00:00+00:00,49.7,34.6,774.0,10.5,29.7
117,2023-01-05 21:00:00+00:00,52.2,36.3,816.0,7.25,36.35
118,2023-01-05 22:00:00+00:00,56.5,39.2,893.0,5.95,45.5
119,2023-01-05 23:00:00+00:00,64.7,44.8,993.0,5.3,56.8
120,2023-01-06 00:00:00+00:00,87.8,60.5,1059.0,0.0,65.65
121,2023-01-06 01:00:00+00:00,91.7,62.2,991.0,0.95,62.3
122,2023-01-06 02:00:00+00:00,88.2,57.5,893.0,2.3,57.4
123,2023-01-06 03:00:00+00:00,75.2,44.9,740.0,3.7,48.7
124,2023-01-06 04:00:00+00:00,58.4,30.4,597.0,3.95,39.1
125,2023-01-06 05:00:00+00:00,51.3,24.4,436.0,3.85,27.75
126,2023-01-06 06:00:00+00:00,49.8,22.9,287.0,4.05,16.3
127,2023-01-06 07:00:00+00:00,50.1,23.1,269.0,4.65,13.65
128,2023-01-06 08:00:00+00:00,52.2,24.4,303.0,5.5,14.15
