,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide
0,2023-01-01 00:00:00+00:00,0.9,0.7,157.0,0.75,0.05
1,2023-01-01 01:00:00+00:00,0.9,0.6,158.0,0.6,0.05
2,2023-01-01 02:00:00+00:00,0.6,0.4,160.0,0.45,0.05
3,2023-01-01 03:00:00+00:00,0.7,0.5,160.0,0.25,0.05
4,2023-01-01 04:00:00+00:00,0.8,0.6,156.0,0.2,0.05
5,2023-01-01 05:00:00+00:00,1.1,0.7,151.0,0.15,0.05
6,2023-01-01 06:00:00+00:00,1.3,0.9,144.0,0.15,0.05
7,2023-01-01 07:00:00+00:00,1.5,1.0,141.0,0.1,0.05
8,2023-01-01 08:00:00+00:00,1.5,1.1,138.0,0.05,0.05
9,2023-01-01 09:00:00+00:00,1.6,1.1,136.0,0.15,0.05
10,2023-01-01 10:00:00+00:00,1.6,1.1,136.0,0.45,0.05
11,2023-01-01 11:00:00+00:00,1.9,1.3,138.0,0.85,0.1
12,2023-01-01 12:00:00+00:00,0.6,0.4,135.0,1.5,0.1
13,2023-01-01 13:00:00+00:00,0.8,0.5,136.0,1.7,0.1
14,2023-01-01 14:00:00+00:00,1.0,0.7,138.0,1.95,0.1
15,2023-01-01 15:00:00+00:00,1.2,0.8,140.0,2.2,0.1
16,2023-01-01 16:00:00+00:00,1.4,1.0,141.0,2.3,0.1
17,2023-01-01 17:00:00+00:00,1.6,1.1,142.0,2.35,0.1
18,2023-01-01 18:00:00+00:00,1.8,1.3,143.0,2.3,0.1
19,2023-01-01 19:00:00+00:00,2.0,1.4,143.0,2.15,0.1
20,2023-01-01 20:00:00+00:00,2.1,1.4,144.0,1.9,0.05
21,2023-01-01 21:00:00+00:00,2.2,1.5,144.0,1.6,0.05
22,2023-01-01 22:00:00+00:00,1.9,1.3,145.0,1.5,0.05
23,2023-01-01 23:00:00+00:00,1.7,1.2,146.0,1.45,0.0
24,2023-01-02 00:00:00+00:00,1.7,1.2,137.0,1.5,0.05
25,2023-01-02 01:00:00+00:00,1.7,1.2,136.0,1.3,0.05
26,2023-01-02 02:00:00+00:00,1.4,1.0,135.0,0.95,0.05
27,2023-01-02 03:00:00+00:00,1.0,0.7,134.0,0.6,0.05
28,2023-01-02 04:00:00+00:00,1.4,0.9,133.0,0.45,0.05
29,2023-01-02 05:00:00+00:00,2.0,1.3,131.0,0.3,0.1
30,2023-01-02 06:00:00+00:00,2.4,1.6,130.0,0.2,0.1
31,2023-01-02 07:00:00+00:00,2.6,1.7,130.0,0.15,0.1
32,2023-01-02 08:00:00+00:00,2.6,1.7,130.0,0.1,0.1
33,2023-01-02 09:00:00+00:00,2.5,1.7,131.0,0.2,0.1
34,2023-01-02 10:00:00+00:00,2.5,1.7,132.0,0.5,0.1
35,2023-01-02 11:00:00+00:00,2.7,1.8,133.0,0.95,0.1
36,2023-01-02 12:00:00+00:00,1.2,0.8,134.0,1.55,0.1
37,2023-01-02 13:00:00+00:00,1.5,1.0,135.0,1.7,0.1
38,2023-01-02 14:00:00+00:00,1.8,1.2,136.0,1.85,0.1
39,2023-01-02 15:00:00+00:00,2.2,1.5,137.0,2.05,0.1
40,2023-01-02 16:00:00+00:00,2.5,1.7,137.0,2.1,0.1
41,2023-01-02 17:00:00+00:00,2.7,1.8,137.0,2.1,0.1
42,2023-01-02 18:00:00+00:00,2.9,2.0,136.0,2.0,0.1
43,2023-01-02 19:00:00+00:00,3.1,2.1,135.0,1.85,0.1
44,2023-01-02 20:00:00+00:00,3.4,2.3,135.0,1.7,0.1
45,2023-01-02 21:00:00+00:00,3.3,2.3,134.0,1.45,0.1
46,2023-01-02 22:00:00+00:00,2.8,2.0,134.0,1.3,0.05
47,2023-01-02 23:00:00+00:00,1.9,1.3,133.0,1.2,0.05
48,2023-01-03 00:00:00+00:00,0.7,0.5,123.0,0.8,0.0
49,2023-01-03 01:00:00+00:00,0.7,0.5,123.0,0.7,0.0
50,2023-01-03 02:00:00+00:00,0.7,0.5,123.0,0.55,0.05
51,2023-01-03 03:00:00+00:00,1.0,0.7,122.0,0.4,0.05
52,2023-01-03 04:00:00+00:00,1.5,1.0,120.0,0.3,0.05
53,2023-01-03 05:00:00+00:00,2.1,1.4,118.0,0.2,0.1
54,2023-01-03 06:00:00+00:00,2.4,1.6,116.0,0.15,0.1
55,2023-01-03 07:00:00+00:00,2.7,1.7,115.0,0.1,0.1
56,2023-01-03 08:00:00+00:00,2.8,1.9,115.0,0.05,0.1
57,2023-01-03 09:00:00+00:00,3.0,2.0,116.0,0.2,0.1
58,2023-01-03 10:00:00+00:00,3.2,2.1,117.0,0.55,0.1
59,2023-01-03 11:00:00+00:00,3.6,2.4,119.0,1.0,0.15
60,2023-01-03 12:00:00+00:00,2.3,1.5,121.0,1.4,0.15
61,2023-01-03 13:00:00+00:00,2.7,1.8,122.0,1.5,0.15
62,2023-01-03 14:00:00+00:00,3.0,2.0,123.0,1.7,0.2
63,2023-01-03 15:00:00+00:00,3.2,2.1,125.0,1.85,0.2
64,2023-01-03 16:00:00+00:00,3.4,2.3,126.0,1.85,0.2
65,2023-01-03 17:00:00+00:00,3.5,2.4,126.0,1.85,0.15
66,2023-01-03 18:00:00+00:00,3.7,2.5,126.0,1.7,0.15
67,2023-01-03 19:00:00+00:00,3.3,2.2,126.0,1.5,0.15
68,2023-01-03 20:00:00+00:00,3.2,2.2,125.0,1.2,0.1
69,2023-01-03 21:00:00+00:00,2.9,2.0,125.0,0.9,0.1
70,2023-01-03 22:00:00+00:00,2.5,1.7,125.0,0.75,0.05
71,2023-01-03 23:00:00+00:00,1.9,1.3,126.0,0.7,0.05
72,2023-01-04 00:00:00+00:00,1.9,1.3,104.0,0.8,0.05
73,2023-01-04 01:00:00+00:00,1.6,1.1,105.0,0.7,0.05
74,2023-01-04 02:00:00+00:00,1.7,1.1,107.0,0.6,0.05
75,2023-01-04 03:00:00+00:00,2.4,1.6,108.0,0.45,0.1
76,2023-01-04 04:00:00+00:00,3.6,2.3,108.0,0.35,0.15
77,2023-01-04 05:00:00+00:00,4.1,2.7,107.0,0.25,0.15
78,2023-01-04 06:00:00+00:00,4.3,2.8,106.0,0.15,0.2
79,2023-01-04 07:00:00+00:00,4.3,2.8,106.0,0.1,0.2
80,2023-01-04 08:00:00+00:00,4.2,2.7,105.0,0.1,0.25
81,2023-01-04 09:00:00+00:00,4.2,2.7,105.0,0.2,0.25
82,2023-01-04 10:00:00+00:00,4.2,2.7,105.0,0.45,0.25
83,2023-01-04 11:00:00+00:00,4.4,2.8,105.0,0.8,0.25
84,2023-01-04 12:00:00+00:00,1.9,1.2,98.0,1.1,0.25
85,2023-01-04 13:00:00+00:00,2.1,1.4,98.0,1.2,0.25
86,2023-01-04 14:00:00+00:00,2.2,1.4,99.0,1.3,0.25
87,2023-01-04 15:00:00+00:00,2.3,1.5,99.0,1.45,0.25
88,2023-01-04 16:00:00+00:00,2.5,1.6,99.0,1.55,0.25
89,2023-01-04 17:00:00+00:00,2.6,1.7,100.0,1.6,0.25
90,2023-01-04 18:00:00+00:00,2.7,1.8,100.0,1.6,0.2
91,2023-01-04 19:00:00+00:00,2.8,1.9,100.0,1.45,0.15
92,2023-01-04 20:00:00+00:00,2.6,1.8,99.0,1.2,0.15
93,2023-01-04 21:00:00+00:00,2.5,1.7,98.0,0.95,0.1
94,2023-01-04 22:00:00+00:00,2.4,1.6,98.0,0.9,0.1
95,2023-01-04 23:00:00+00:00,2.2,1.5,98.0,0.9,0.05
96,2023-01-05 00:00:00+00:00,2.0,1.4,88.0,1.0,0.05
97,2023-01-05 01:00:00+00:00,2.0,1.3,88.0,0.85,0.05
98,2023-01-05 02:00:00+00:00,2.1,1.4,88.0,0.65,0.1
99,2023-01-05 03:00:00+00:00,2.6,1.7,89.0,0.4,0.15
100,2023-01-05 04:00:00+00:00,2.9,1.8,90.0,0.3,0.15
101,2023-01-05 05:00:00+00:00,2.9,1.9,91.0,0.2,0.2
102,2023-01-05 06:00:00+00:00,3.0,1.9,92.0,0.15,0.2
103,2023-01-05 07:00:00+00:00,3.1,2.0,93.0,0.1,0.2
104,2023-01-05 08:00:00+00:00,3.1,1.9,94.0,0.05,0.15
105,2023-01-05 09:00:00+00:00,3.0,1.9,95.0,0.2,0.2
106,2023-01-05 10:00:00+00:00,3.0,1.9,96.0,0.7,0.35
107,2023-01-05 11:00:00+00:00,3.3,2.1,97.0,1.4,0.55
108,2023-01-05 12:00:00+00:00,1.0,0.7,101.0,4.3,0.35
109,2023-01-05 13:00:00+00:00,1.4,0.9,99.0,3.55,0.6
110,2023-01-05 14:00:00+00:00,1.4,1.0,95.0,2.5,1.0
111,2023-01-05 15:00:00+00:00,1.5,1.1,91.0,1.35,1.35
112,2023-01-05 16:00:00+00:00,1.7,1.1,89.0,1.0,1.4
113,2023-01-05 17:00:00+00:00,1.9,1.2,88.0,0.85,1.3
114,2023-01-05 18:00:00+00:00,2.1,1.3,87.0,0.75,1.15
115,2023-01-05 19:00:00+00:00,2.2,1.4,87.0,0.65,1.1
116,2023-01-05 20:00:00+00:00,2.5,1.5,87.0,0.6,1.1
117,2023-01-05 21:00:00+00:00,2.7,1.7,88.0,0.65,1.05
118,2023-01-05 22:00:00+00:00,2.9,1.8,89.0,0.85,1.0
119,2023-01-05 23:00:00+00:00,3.1,1.9,89.0,1.15,1.0
120,2023-01-06 00:00:00+00:00,2.8,1.7,96.0,1.05,1.05
121,2023-01-06 01:00:00+00:00,3.1,1.8,97.0,1.0,1.15
122,2023-01-06 02:00:00+00:00,3.0,1.7,99.0,0.95,1.35
123,2023-01-06 03:00:00+00:00,3.1,1.8,101.0,0.9,1.5
124,2023-01-06 04:00:00+00:00,3.2,1.9,102.0,0.95,1.55
125,2023-01-06 05:00:00+00:00,3.2,2.0,102.0,1.0,1.5
126,2023-01-06 06:00:00+00:00,3.3,2.1,102.0,1.05,1.45
127,2023-01-06 07:00:00+00:00,3.5,2.2,101.0,0.9,1.4
128,2023-01-06 08:00:00+00:00,3.6,2.3,100.0,0.65,1.3
129,2023-01-06 09:00:00+00:00,3.6,2.4,100.0,1.1,1.25
130,2023-01-06 10:00:00+00:00,3.7,2.4,102.0,2.55,1.25
131,2023-01-06 11:00:00+00:00,4.3,2.8,105.0,4.6,1.25
132,2023-01-06 12:00:00+00:00,2.1,1.5,102.0,7.1,1.25
133,2023-01-06 13:00:00+00:00,2.9,2.0,105.0,7.85,1.25
134,2023-01-06 14:00:00+00:00,3.5,2.4,109.0,8.85,1.25
135,2023-01-06 15:00:00+00:00,4.0,2.8,114.0,9.65,1.25
136,2023-01-06 16:00:00+00:00,4.4,3.1,115.0,9.35,1.25
137,2023-01-06 17:00:00+00:00,4.7,3.3,115.0,8.55,1.2
138,2023-01-06 18:00:00+00:00,4.8,3.4,114.0,7.35,1.15
139,2023-01-06 19:00:00+00:00,5.0,3.5,113.0,6.35,1.1
140,2023-01-06 20:00:00+00:00,5.1,3.6,111.0,5.2,1.1
141,2023-01-06 21:00:00+00:00,5.2,3.6,110.0,4.05,1.05
142,2023-01-06 22:00:00+00:00,5.2,3.7,110.0,3.75,1.0
143,2023-01-06 23:00:00+00:00,5.3,3.7,111.0,3.8,0.9
144,2023-01-07 00:00:00+00:00,4.5,3.2,93.0,2.85,0.95
145,2023-01-07 01:00:00+00:00,4.7,3.3,95.0,2.5,1.4
146,2023-01-07 02:00:00+00:00,3.2,2.2,97.0,2.05,2.0
147,2023-01-07 03:00:00+00:00,3.2,2.2,99.0,1.5,2.55
148,2023-01-07 04:00:00+00:00,3.2,2.2,97.0,1.2,2.45
149,2023-01-07 05:00:00+00:00,3.1,2.2,94.0,1.0,2.1
150,2023-01-07 06:00:00+00:00,3.1,2.1,90.0,0.8,1.65
151,2023-01-07 07:00:00+00:00,3.1,2.1,89.0,0.55,1.5
152,2023-01-07 08:00:00+00:00,3.2,2.2,89.0,0.35,1.4
153,2023-01-07 09:00:00+00:00,3.2,2.2,90.0,0.8,1.35
154,2023-01-07 10:00:00+00:00,3.3,2.3,92.0,2.3,1.35
155,2023-01-07 11:00:00+00:00,4.0,2.8,96.0,4.45,1.45
156,2023-01-07 12:00:00+00:00,2.6,1.8,103.0,7.1,1.35
157,2023-01-07 13:00:00+00:00,3.3,2.3,106.0,7.85,1.4
158,2023-01-07 14:00:00+00:00,3.9,2.7,110.0,8.95,1.45
159,2023-01-07 15:00:00+00:00,4.3,3.0,115.0,9.75,1.5
160,2023-01-07 16:00:00+00:00,4.7,3.3,116.0,9.4,1.5
161,2023-01-07 17:00:00+00:00,5.0,3.5,116.0,8.55,1.45
162,2023-01-07 18:00:00+00:00,5.2,3.6,115.0,7.25,1.45
163,2023-01-07 19:00:00+00:00,5.4,3.8,114.0,6.3,1.45
164,2023-01-07 20:00:00+00:00,5.6,3.9,113.0,5.3,1.45
165,2023-01-07 21:00:00+00:00,5.6,3.9,112.0,4.25,1.5
166,2023-01-07 22:00:00+00:00,5.7,4.0,112.0,3.85,1.5
167,2023-01-07 23:00:00+00:00,5.7,4.0,112.0,3.7,1.55
168,2023-01-08 00:00:00+00:00,6.2,4.3,112.0,2.8,1.4
169,2023-01-08 01:00:00+00:00,6.4,4.5,111.0,2.5,2.0
170,2023-01-08 02:00:00+00:00,4.8,3.4,108.0,2.1,2.8
171,2023-01-08 03:00:00+00:00,3.5,2.4,106.0,1.55,3.45
172,2023-01-08 04:00:00+00:00,3.1,2.1,105.0,1.2,3.25
173,2023-01-08 05:00:00+00:00,3.1,2.1,104.0,0.9,2.65
174,2023-01-08 06:00:00+00:00,3.1,2.2,103.0,0.55,1.9
175,2023-01-08 07:00:00+00:00,3.2,2.2,102.0,0.2,1.6
176,2023-01-08 08:00:00+00:00,3.2,2.2,101.0,0.0,1.35
177,2023-01-08 09:00:00+00:00,3.2,2.2,101.0,0.4,1.1
178,2023-01-08 10:00:00+00:00,3.2,2.2,104.0,2.05,1.05
179,2023-01-08 11:00:00+00:00,4.1,2.9,107.0,4.45,1.05
180,2023-01-08 12:00:00+00:00,1.4,1.0,113.0,7.35,0.85
181,2023-01-08 13:00:00+00:00,2.2,1.6,117.0,8.35,0.85
182,2023-01-08 14:00:00+00:00,3.0,2.1,122.0,9.75,0.8
183,2023-01-08 15:00:00+00:00,3.6,2.5,128.0,10.95,0.75
184,2023-01-08 16:00:00+00:00,4.2,2.9,130.0,10.75,0.7
185,2023-01-08 17:00:00+00:00,4.6,3.2,130.0,9.95,0.6
186,2023-01-08 18:00:00+00:00,4.9,3.4,130.0,8.7,0.55
187,2023-01-08 19:00:00+00:00,5.2,3.6,129.0,7.65,0.55
188,2023-01-08 20:00:00+00:00,5.4,3.7,127.0,6.5,0.55
189,2023-01-08 21:00:00+00:00,5.5,3.8,124.0,5.2,0.55
190,2023-01-08 22:00:00+00:00,5.6,3.9,123.0,4.7,0.55
191,2023-01-08 23:00:00+00:00,5.7,4.0,123.0,4.4,0.55
192,2023-01-09 00:00:00+00:00,4.8,3.4,103.0,3.15,0.55
193,2023-01-09 01:00:00+00:00,5.2,3.6,100.0,2.5,0.55
194,2023-01-09 02:00:00+00:00,3.7,2.6,96.0,1.55,0.55
195,2023-01-09 03:00:00+00:00,1.7,1.1,91.0,0.55,0.55
196,2023-01-09 04:00:00+00:00,2.4,1.6,90.0,0.3,0.55
197,2023-01-09 05:00:00+00:00,2.8,1.9,90.0,0.25,0.55
198,2023-01-09 06:00:00+00:00,2.8,1.9,91.0,0.3,0.5
199,2023-01-09 07:00:00+00:00,2.7,1.8,91.0,0.1,0.45
200,2023-01-09 08:00:00+00:00,2.7,1.8,92.0,0.0,0.4
201,2023-01-09 09:00:00+00:00,2.6,1.8,94.0,0.35,0.4
202,2023-01-09 10:00:00+00:00,2.8,1.9,97.0,2.0,0.45
203,2023-01-09 11:00:00+00:00,3.6,2.5,100.0,4.35,0.5
204,2023-01-09 12:00:00+00:00,2.2,1.6,106.0,7.2,0.55
205,2023-01-09 13:00:00+00:00,2.9,2.0,110.0,8.0,0.55
206,2023-01-09 14:00:00+00:00,3.4,2.4,115.0,9.15,0.55
207,2023-01-09 15:00:00+00:00,4.0,2.8,120.0,10.1,0.5
208,2023-01-09 16:00:00+00:00,4.5,3.1,122.0,9.9,0.45
209,2023-01-09 17:00:00+00:00,4.9,3.4,122.0,9.2,0.45
210,2023-01-09 18:00:00+00:00,5.2,3.7,122.0,8.05,0.4
211,2023-01-09 19:00:00+00:00,5.5,3.8,121.0,7.15,0.4
212,2023-01-09 20:00:00+00:00,5.7,4.0,119.0,6.1,0.4
213,2023-01-09 21:00:00+00:00,5.8,4.1,117.0,4.95,0.4
214,2023-01-09 22:00:00+00:00,6.0,4.2,117.0,4.6,0.4
215,2023-01-09 23:00:00+00:00,6.1,4.3,117.0,4.45,0.45
216,2023-01-10 00:00:00+00:00,6.5,4.5,108.0,3.2,0.4
217,2023-01-10 01:00:00+00:00,6.6,4.6,103.0,2.55,0.4
218,2023-01-10 02:00:00+00:00,5.0,3.5,97.0,1.55,0.4
219,2023-01-10 03:00:00+00:00,2.4,1.7,90.0,0.55,0.4
220,2023-01-10 04:00:00+00:00,1.9,1.3,88.0,0.3,0.4
221,2023-01-10 05:00:00+00:00,1.7,1.2,87.0,0.25,0.35
222,2023-01-10 06:00:00+00:00,1.6,1.1,86.0,0.25,0.35
223,2023-01-10 07:00:00+00:00,1.5,1.1,85.0,0.15,0.35
224,2023-01-10 08:00:00+00:00,1.5,1.0,85.0,0.05,0.3
225,2023-01-10 09:00:00+00:00,1.5,1.0,85.0,0.25,0.3
226,2023-01-10 10:00:00+00:00,1.5,1.0,86.0,0.95,0.3
227,2023-01-10 11:00:00+00:00,1.8,1.2,87.0,1.95,0.3
228,2023-01-10 12:00:00+00:00,0.4,0.3,86.0,2.6,0.3
229,2023-01-10 13:00:00+00:00,0.9,0.6,87.0,2.75,0.3
230,2023-01-10 14:00:00+00:00,1.2,0.8,87.0,3.0,0.3
231,2023-01-10 15:00:00+00:00,1.3,0.9,88.0,3.2,0.3
232,2023-01-10 16:00:00+00:00,1.6,1.1,87.0,3.15,0.3
233,2023-01-10 17:00:00+00:00,1.7,1.2,87.0,3.0,0.3
234,2023-01-10 18:00:00+00:00,1.9,1.3,85.0,2.75,0.3
235,2023-01-10 19:00:00+00:00,2.0,1.4,84.0,2.45,0.3
236,2023-01-10 20:00:00+00:00,2.1,1.4,82.0,2.05,0.3
237,2023-01-10 21:00:00+00:00,2.1,1.5,81.0,1.75,0.3
238,2023-01-10 22:00:00+00:00,2.2,1.5,81.0,1.85,0.3
239,2023-01-10 23:00:00+00:00,2.3,1.6,80.0,2.1,0.35
240,2023-01-11 00:00:00+00:00,1.5,1.0,80.0,1.8,0.35
241,2023-01-11 01:00:00+00:00,1.8,1.3,79.0,1.5,0.35
242,2023-01-11 02:00:00+00:00,1.5,1.1,77.0,1.0,0.35
243,2023-01-11 03:00:00+00:00,1.1,0.8,77.0,0.5,0.35
244,2023-01-11 04:00:00+00:00,1.2,0.9,80.0,0.3,0.35
245,2023-01-11 05:00:00+00:00,1.8,1.2,85.0,0.2,0.3
246,2023-01-11 06:00:00+00:00,2.4,1.6,91.0,0.15,0.25
247,2023-01-11 07:00:00+00:00,2.6,1.7,92.0,0.05,0.25
248,2023-01-11 08:00:00+00:00,2.5,1.7,93.0,0.0,0.2
249,2023-01-11 09:00:00+00:00,2.4,1.6,93.0,0.2,0.2
250,2023-01-11 10:00:00+00:00,2.3,1.6,94.0,0.75,0.2
251,2023-01-11 11:00:00+00:00,2.5,1.7,95.0,1.5,0.2
252,2023-01-11 12:00:00+00:00,2.6,1.7,89.0,1.6,0.2
253,2023-01-11 13:00:00+00:00,3.3,2.2,91.0,2.25,0.2
254,2023-01-11 14:00:00+00:00,3.8,2.5,94.0,3.2,0.25
255,2023-01-11 15:00:00+00:00,4.1,2.8,98.0,4.1,0.25
256,2023-01-11 16:00:00+00:00,4.5,3.0,99.0,4.2,0.25
257,2023-01-11 17:00:00+00:00,4.7,3.2,100.0,4.0,0.25
258,2023-01-11 18:00:00+00:00,5.0,3.4,100.0,3.6,0.25
259,2023-01-11 19:00:00+00:00,5.2,3.6,100.0,3.2,0.25
260,2023-01-11 20:00:00+00:00,5.4,3.7,100.0,2.65,0.25
261,2023-01-11 21:00:00+00:00,5.3,3.6,99.0,2.1,0.25
262,2023-01-11 22:00:00+00:00,5.2,3.6,99.0,2.05,0.25
263,2023-01-11 23:00:00+00:00,5.1,3.5,99.0,2.15,0.25
264,2023-01-12 00:00:00+00:00,4.5,3.1,91.0,1.6,0.25
265,2023-01-12 01:00:00+00:00,4.3,3.0,90.0,1.35,0.25
266,2023-01-12 02:00:00+00:00,4.0,2.7,89.0,0.95,0.25
267,2023-01-12 03:00:00+00:00,3.4,2.3,88.0,0.55,0.25
268,2023-01-12 04:00:00+00:00,3.3,2.2,88.0,0.4,0.25
269,2023-01-12 05:00:00+00:00,3.0,2.0,88.0,0.3,0.25
270,2023-01-12 06:00:00+00:00,2.8,1.9,90.0,0.2,0.25
271,2023-01-12 07:00:00+00:00,2.8,1.8,92.0,0.15,0.25
272,2023-01-12 08:00:00+00:00,2.8,1.9,96.0,0.1,0.25
273,2023-01-12 09:00:00+00:00,2.8,1.8,99.0,0.15,0.25
274,2023-01-12 10:00:00+00:00,2.8,1.8,100.0,0.4,0.25
275,2023-01-12 11:00:00+00:00,2.9,1.9,101.0,0.75,0.25
276,2023-01-12 12:00:00+00:00,0.6,0.4,92.0,1.0,0.2
277,2023-01-12 13:00:00+00:00,0.6,0.4,92.0,1.05,0.2
278,2023-01-12 14:00:00+00:00,0.8,0.5,91.0,1.15,0.2
279,2023-01-12 15:00:00+00:00,0.9,0.6,90.0,1.2,0.2
280,2023-01-12 16:00:00+00:00,1.0,0.7,89.0,1.2,0.2
281,2023-01-12 17:00:00+00:00,1.1,0.7,88.0,1.15,0.2
282,2023-01-12 18:00:00+00:00,1.2,0.8,87.0,1.1,0.2
283,2023-01-12 19:00:00+00:00,1.2,0.9,86.0,1.0,0.2
284,2023-01-12 20:00:00+00:00,1.3,0.9,86.0,0.9,0.2
285,2023-01-12 21:00:00+00:00,1.4,1.0,86.0,0.8,0.2
286,2023-01-12 22:00:00+00:00,1.4,1.0,86.0,0.9,0.2
287,2023-01-12 23:00:00+00:00,1.5,1.0,86.0,1.05,0.15
288,2023-01-13 00:00:00+00:00,1.2,0.8,83.0,1.15,0.1
289,2023-01-13 01:00:00+00:00,1.3,0.9,90.0,0.95,0.1
290,2023-01-13 02:00:00+00:00,0.8,0.6,100.0,0.65,0.05
291,2023-01-13 03:00:00+00:00,1.0,0.7,111.0,0.3,0.05
292,2023-01-13 04:00:00+00:00,1.1,0.8,115.0,0.2,0.05
293,2023-01-13 05:00:00+00:00,1.2,0.9,118.0,0.15,0.05
294,2023-01-13 06:00:00+00:00,1.3,0.9,121.0,0.15,0.05
295,2023-01-13 07:00:00+00:00,1.3,0.9,123.0,0.1,0.05
296,2023-01-13 08:00:00+00:00,1.3,0.9,124.0,0.1,0.05
297,2023-01-13 09:00:00+00:00,1.2,0.9,126.0,0.2,0.05
298,2023-01-13 10:00:00+00:00,1.3,0.9,128.0,0.5,0.05
299,2023-01-13 11:00:00+00:00,1.4,1.0,130.0,0.9,0.05
300,2023-01-13 12:00:00+00:00,1.5,1.1,133.0,1.35,0.05
301,2023-01-13 13:00:00+00:00,1.7,1.2,135.0,1.55,0.05
302,2023-01-13 14:00:00+00:00,1.8,1.2,136.0,1.7,0.05
303,2023-01-13 15:00:00+00:00,1.9,1.3,137.0,1.75,0.05
304,2023-01-13 16:00:00+00:00,2.0,1.4,138.0,1.7,0.05
305,2023-01-13 17:00:00+00:00,2.1,1.4,138.0,1.55,0.05
306,2023-01-13 18:00:00+00:00,2.1,1.4,138.0,1.35,0.05
307,2023-01-13 19:00:00+00:00,2.1,1.5,138.0,1.2,0.05
308,2023-01-13 20:00:00+00:00,2.1,1.5,138.0,1.0,0.05
309,2023-01-13 21:00:00+00:00,2.1,1.5,138.0,0.85,0.05
310,2023-01-13 22:00:00+00:00,2.1,1.5,138.0,0.9,0.05
