,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide
0,2023-01-01 00:00:00+00:00,297.1,207.2,1546.0,73.35,95.75
1,2023-01-01 01:00:00+00:00,237.5,165.3,1557.0,77.6,102.25
2,2023-01-01 02:00:00+00:00,217.5,151.3,1573.0,83.7,111.85
3,2023-01-01 03:00:00+00:00,196.0,136.4,1628.0,90.7,130.2
4,2023-01-01 04:00:00+00:00,184.9,128.5,1697.0,93.35,151.6
5,2023-01-01 05:00:00+00:00,181.1,126.2,1788.0,94.9,177.55
6,2023-01-01 06:00:00+00:00,184.4,128.1,1958.0,97.45,205.35
7,2023-01-01 07:00:00+00:00,191.4,133.2,2175.0,100.65,219.4
8,2023-01-01 08:00:00+00:00,210.0,146.7,2438.0,104.35,228.95
9,2023-01-01 09:00:00+00:00,213.7,149.5,2647.0,109.2,222.0
10,2023-01-01 10:00:00+00:00,204.0,142.5,2581.0,113.0,189.8
11,2023-01-01 11:00:00+00:00,191.9,134.1,2397.0,116.85,141.8
12,2023-01-01 12:00:00+00:00,170.9,119.2,2135.0,70.05,89.95
13,2023-01-01 13:00:00+00:00,171.4,119.7,2087.0,69.65,82.15
14,2023-01-01 14:00:00+00:00,172.8,119.7,2017.0,68.95,71.0
15,2023-01-01 15:00:00+00:00,174.2,119.2,1930.0,66.2,58.3
16,2023-01-01 16:00:00+00:00,177.4,119.0,1888.0,61.85,53.4
17,2023-01-01 17:00:00+00:00,182.5,118.7,1855.0,56.15,50.5
18,2023-01-01 18:00:00+00:00,187.2,117.8,1788.0,48.15,47.3
19,2023-01-01 19:00:00+00:00,189.1,115.3,1708.0,42.25,44.65
20,2023-01-01 20:00:00+00:00,185.8,110.4,1612.0,36.15,42.25
21,2023-01-01 21:00:00+00:00,177.0,102.9,1466.0,28.95,39.3
22,2023-01-01 22:00:00+00:00,162.1,92.4,1340.0,24.5,36.75
23,2023-01-01 23:00:00+00:00,144.4,81.5,1201.0,20.7,34.2
24,2023-01-02 00:00:00+00:00,159.3,90.8,1252.0,18.0,34.45
25,2023-01-02 01:00:00+00:00,148.5,84.1,1166.0,16.95,36.9
26,2023-01-02 02:00:00+00:00,130.9,72.6,1043.0,15.6,40.5
27,2023-01-02 03:00:00+00:00,113.9,62.6,909.0,15.9,47.55
28,2023-01-02 04:00:00+00:00,102.7,56.2,865.0,18.65,55.75
29,2023-01-02 05:00:00+00:00,99.2,55.6,847.0,23.0,65.7
30,2023-01-02 06:00:00+00:00,94.8,54.8,837.0,31.3,77.2
31,2023-01-02 07:00:00+00:00,86.6,51.1,841.0,41.65,84.05
32,2023-01-02 08:00:00+00:00,78.2,46.7,856.0,54.3,89.75
33,2023-01-02 09:00:00+00:00,79.2,49.4,849.0,64.45,90.5
34,2023-01-02 10:00:00+00:00,84.3,54.0,801.0,61.55,81.65
35,2023-01-02 11:00:00+00:00,81.0,52.4,731.0,53.15,67.25
36,2023-01-02 12:00:00+00:00,104.1,68.5,762.0,51.75,68.95
37,2023-01-02 13:00:00+00:00,106.2,69.8,712.0,46.5,61.5
38,2023-01-02 14:00:00+00:00,110.4,73.1,641.0,39.05,50.95
39,2023-01-02 15:00:00+00:00,111.1,73.6,570.0,31.55,39.15
40,2023-01-02 16:00:00+00:00,106.4,70.5,559.0,30.1,34.65
41,2023-01-02 17:00:00+00:00,102.7,68.0,568.0,30.7,32.2
42,2023-01-02 18:00:00+00:00,99.2,65.9,591.0,32.7,30.85
43,2023-01-02 19:00:00+00:00,98.5,65.4,615.0,35.15,31.2
44,2023-01-02 20:00:00+00:00,99.7,66.4,646.0,38.4,32.8
